taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	tRNA-Ala	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	unknown.39	unknown.40	unknown.41	unknown.42	unknown.43	unknown.44	unknown.45	unknown.46	unknown.47	unknown.48	unknown.49	unknown.50	unknown.51	unknown.52	unknown.53	unknown.54	unknown.55	unknown.56	fusA	unknown.57	unknown.58	unknown.59	unknown.60	unknown.61	unknown.62	unknown.63	unknown.64	unknown.65	unknown.66	unknown.67	unknown.68	unknown.69	unknown.70	unknown.71	unknown.72	unknown.73	unknown.74	unknown.75	unknown.76	unknown.77	unknown.78	unknown.79	fructokinase	unknown.80	unknown.81	unknown.82	unknown.83	unknown.84	unknown.85	unknown.86	
Lepilemur jamesi						2015-11-10-sim-6_H45UZD								2015-11-10-sim-6_7WR41I		2015-11-10-sim-6_HYKZHP																		2015-11-10-sim-6_WUQHZM													2015-11-10-sim-6_O3VK56	2015-11-10-sim-6_13M2K2																																										2015-11-10-sim-6_WWIQZS	
Callimico goeldii	2015-11-10-sim-6_T8SNK1																																																	2015-11-10-sim-6_L3F9UW										2015-11-10-sim-6_R6PP9Z								2015-11-10-sim-6_U23CO5		2015-11-10-sim-6_BLTYRZ																				2015-11-10-sim-6_DKFCH8	
Brachyteles hypoxanthus						2015-11-10-sim-6_DFJRFS																		2015-11-10-sim-6_6TTHP9												2015-11-10-sim-6_WAD3ZL												2015-11-10-sim-6_7XPVLV																				2015-11-10-sim-6_RP8HWY		2015-11-10-sim-6_X5BM73																					
Mirza coquereli																							2015-11-10-sim-6_USUOGM	2015-11-10-sim-6_KUQ1RV																																												2015-11-10-sim-6_TEUZKH		2015-11-10-sim-6_50AN0V							2015-11-10-sim-6_Z351YR													2015-11-10-sim-6_D8PRNR	
Rhinopithecus brelichi										2015-11-10-sim-6_0M0G1A					2015-11-10-sim-6_70IVHK									2015-11-10-sim-6_MVDML9		2015-11-10-sim-6_ZNQG59	2015-11-10-sim-6_DYI1W4											2015-11-10-sim-6_G8H2F0																																																		2015-11-10-sim-6_W91N0Q		2015-11-10-sim-6_8BSIV7	
Colobus polykomos																2015-11-10-sim-6_UQMYAB									2015-11-10-sim-6_W8FR4T						2015-11-10-sim-6_1ZYHBZ							2015-11-10-sim-6_Q6B1KQ								2015-11-10-sim-6_Z2OPRB																													2015-11-10-sim-6_0LQNVA		2015-11-10-sim-6_3CPX4H													2015-11-10-sim-6_8TDWLQ	
Propithecus edwardsi				2015-11-10-sim-6_GRYUJQ																				2015-11-10-sim-6_2S0Z6J							2015-11-10-sim-6_2OIN8P					2015-11-10-sim-6_12VFOT		2015-11-10-sim-6_CZXSL1																																																				2015-11-10-sim-6_3Y40U9	
Ateles fusciceps																			2015-11-10-sim-6_M06LXX					2015-11-10-sim-6_D0VY5Z		2015-11-10-sim-6_81TI61	2015-11-10-sim-6_MSLL7G					2015-11-10-sim-6_XMHCVZ										2015-11-10-sim-6_12J8KO																																														2015-11-10-sim-6_KKJ1B4			
Microcebus berthae																							2015-11-10-sim-6_J7M0M6															2015-11-10-sim-6_QKBZX6										2015-11-10-sim-6_XDSQMW						2015-11-10-sim-6_5SLYH5	2015-11-10-sim-6_UE2EHB																	2015-11-10-sim-6_3ZVR1F							2015-11-10-sim-6_A8ACDI				2015-11-10-sim-6_YMANJV								
Procolobus verus				2015-11-10-sim-6_941AZK																																		2015-11-10-sim-6_RZA5HT																																												2015-11-10-sim-6_52HYOZ				2015-11-10-sim-6_YC5IP9	2015-11-10-sim-6_6WVAC8				
Mandrillus sphinx						2015-11-10-sim-6_J0DZZU																											2015-11-10-sim-6_NUWAEK					2015-11-10-sim-6_1H37Y8					2015-11-10-sim-6_4AGCO2																										2015-11-10-sim-6_ODD2NO																					2015-11-10-sim-6_7VMAJ5	
Hylobates lar														2015-11-10-sim-6_EVI7T8						2015-11-10-sim-6_QSII58						2015-11-10-sim-6_612R9B	2015-11-10-sim-6_PHZVLN		2015-11-10-sim-6_WVS0HN					2015-11-10-sim-6_SMD2BV			2015-11-10-sim-6_0E70GR																																																			2015-11-10-sim-6_0F04X8		2015-11-10-sim-6_9LDBAD	
Callicebus caligatus	2015-11-10-sim-6_G99A70					2015-11-10-sim-6_IOBOV0																													2015-11-10-sim-6_UN3Y2B																																	2015-11-10-sim-6_M2A90M	2015-11-10-sim-6_NTCU8E	2015-11-10-sim-6_I7N93R																					
Gorilla beringei		2015-11-10-sim-6_KG4YKV				2015-11-10-sim-6_VLV5MJ										2015-11-10-sim-6_UWHLBD			2015-11-10-sim-6_6MKRE8				2015-11-10-sim-6_K2DNZM		2015-11-10-sim-6_OPOF6O																																							2015-11-10-sim-6_C7N69Y											2015-11-10-sim-6_ADQKYD															2015-11-10-sim-6_UWVW7I	
Aotus nigriceps		2015-11-10-sim-6_CS3SU2		2015-11-10-sim-6_08X14A																					2015-11-10-sim-6_7PNW7C		2015-11-10-sim-6_07FKIV									2015-11-10-sim-6_H3O2BE											2015-11-10-sim-6_Z87XFA																																					2015-11-10-sim-6_IIUE2N						2015-11-10-sim-6_LW1TCP	
Trachypithecus auratus																																	2015-11-10-sim-6_SFG0RX										2015-11-10-sim-6_6K33YP				2015-11-10-sim-6_JJ5JBD				2015-11-10-sim-6_NFF3XC		2015-11-10-sim-6_5RQNAP						2015-11-10-sim-6_AW5QPR																						2015-11-10-sim-6_X48BY9										
Pongo abelii																2015-11-10-sim-6_2EFRG2		2015-11-10-sim-6_K8X8F5					2015-11-10-sim-6_K35DN2			2015-11-10-sim-6_N2789Y	2015-11-10-sim-6_6S2JQ3																							2015-11-10-sim-6_O0HUW9										2015-11-10-sim-6_T99033		2015-11-10-sim-6_96VDHM																								2015-11-10-sim-6_5CGI66		2015-11-10-sim-6_QHL3J7			
Pithecia irrorata																2015-11-10-sim-6_PBGK1Z																	2015-11-10-sim-6_WFXJVV		2015-11-10-sim-6_SLSBAQ				2015-11-10-sim-6_QPBXOK																								2015-11-10-sim-6_6WAFYI																												
Callithrix mauesi														2015-11-10-sim-6_V7BIP6																				2015-11-10-sim-6_SR0MP0		2015-11-10-sim-6_65SLGF																		2015-11-10-sim-6_0FJ4E2	2015-11-10-sim-6_YV5CV7																	2015-11-10-sim-6_62QEWI				2015-11-10-sim-6_WYO99F			2015-11-10-sim-6_SC5IC7				2015-11-10-sim-6_6Y0UAT							2015-11-10-sim-6_NCRXUZ	
Leontopithecus chrysomelas																2015-11-10-sim-6_259Z55														2015-11-10-sim-6_I27JTU								2015-11-10-sim-6_04ZG8K	2015-11-10-sim-6_ZN1Y4J					2015-11-10-sim-6_Y0U5Q3															2015-11-10-sim-6_VRXUAS						2015-11-10-sim-6_VH8GRP										2015-11-10-sim-6_ZF6WX3		2015-11-10-sim-6_CDSAIU													2015-11-10-sim-6_2N9YLV	
Papio anubis									2015-11-10-sim-6_U51609			2015-11-10-sim-6_JFQZUH																					2015-11-10-sim-6_YGECEZ										2015-11-10-sim-6_ISALJF																		2015-11-10-sim-6_75BPGD																														
Ateles hybridus				2015-11-10-sim-6_Q3KXSK	2015-11-10-sim-6_UJZUJU							2015-11-10-sim-6_AK4AVK				2015-11-10-sim-6_YHHL2J												2015-11-10-sim-6_Q9EUTP				2015-11-10-sim-6_AILZAL			2015-11-10-sim-6_LN7FBK																															2015-11-10-sim-6_RLJT86					2015-11-10-sim-6_D5BQQZ																		2015-11-10-sim-6_DH5X3D	2015-11-10-sim-6_PR0BT6	
Lepilemur ankaranensis												2015-11-10-sim-6_KW7PQA								2015-11-10-sim-6_J59IOT																											2015-11-10-sim-6_3ECF52					2015-11-10-sim-6_FKREAK						2015-11-10-sim-6_TW5DJ1																																	
Alouatta guariba																																																	2015-11-10-sim-6_S7DE3U												2015-11-10-sim-6_QWD8MM												2015-11-10-sim-6_RXZ6XT												2015-11-10-sim-6_9COBL9					2015-11-10-sim-6_ICZAWW	
Erythrocebus patas		2015-11-10-sim-6_244MCD																									2015-11-10-sim-6_VO0C2N					2015-11-10-sim-6_BMXOOB												2015-11-10-sim-6_W0T9BZ															2015-11-10-sim-6_RWKC0D				2015-11-10-sim-6_KBQ2ES		2015-11-10-sim-6_XK4AVF		2015-11-10-sim-6_ORHGH4	2015-11-10-sim-6_WJV1W5		2015-11-10-sim-6_NSZKCC												2015-11-10-sim-6_POLW40					2015-11-10-sim-6_GJCX9K				
Chiropotes albinasus					2015-11-10-sim-6_8TW4HA				2015-11-10-sim-6_CXZK49			2015-11-10-sim-6_KXAIEC							2015-11-10-sim-6_1FT9CG												2015-11-10-sim-6_5UAEX8				2015-11-10-sim-6_43FLM1															2015-11-10-sim-6_ITIFQB										2015-11-10-sim-6_H35CNV	2015-11-10-sim-6_PNUNI7																													2015-11-10-sim-6_REWAUP	
Tarsius syrichta																									2015-11-10-sim-6_1WZOVY		2015-11-10-sim-6_3Z4OBD											2015-11-10-sim-6_L3BP4Q																																																	2015-11-10-sim-6_9JFXBR			2015-11-10-sim-6_MOOGXD	
Pithecia pithecia												2015-11-10-sim-6_DUS9NU				2015-11-10-sim-6_NIQ47O									2015-11-10-sim-6_3HP5C6		2015-11-10-sim-6_9YXDCU																											2015-11-10-sim-6_P278XN	2015-11-10-sim-6_A56ZL6																	2015-11-10-sim-6_N0RZPT			2015-11-10-sim-6_U65VSL				2015-11-10-sim-6_112DPY				2015-11-10-sim-6_I7LMAW	2015-11-10-sim-6_VDLV15							
